Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy,subject_id
0,40,25,40,75,15,0.5,0.0625,0.0,0.62988486283,1
1,40,25,40,75,15,0.5,0.0625,0.0,0.58732573815,2
2,40,25,40,75,15,0.5,0.0625,0.0,0.78896725972,3
3,25,13,53,79,19,0.2,0.0525,0.0,0.1852151305741201,1
4,25,13,53,79,19,0.2,0.0525,0.0,0.3873448311925077,2
5,25,13,53,79,19,0.2,0.0525,0.0,0.5201888385495115,3
6,45,15,26,53,21,0.4,0.0225,0.000225,0.4803828152314987,1
7,45,15,26,53,21,0.4,0.0225,0.000225,0.5252163679036748,2
8,45,15,26,53,21,0.4,0.0225,0.000225,0.4070221303839739,3
9,43,25,43,52,27,0.3,0.0225,0.00045,0.5575380598271567,1
10,43,25,43,52,27,0.3,0.0225,0.00045,0.6752448055753304,2
11,43,25,43,52,27,0.3,0.0225,0.00045,0.6604102683960544,3
12,53,32,27,65,18,0.4,0.0425,0.00045,0.3243081800211814,1
13,53,32,27,65,18,0.4,0.0425,0.00045,0.5236163569436926,2
14,53,32,27,65,18,0.4,0.0425,0.00045,0.4451578794464525,3
15,35,31,33,52,13,0.8,0.0325,0.0,0.0844044881651107,1
16,35,31,33,52,13,0.8,0.0325,0.0,0.3388416160060197,2
17,35,31,33,52,13,0.8,0.0325,0.0,0.421317660155312,3
18,50,26,49,52,18,0.6000000000000001,0.0525,0.000225,0.2433874958629153,1
19,50,26,49,52,18,0.6000000000000001,0.0525,0.000225,0.5300210263016101,2
20,50,26,49,52,18,0.6000000000000001,0.0525,0.000225,0.268619198512333,3
21,40,10,51,60,17,0.6000000000000001,0.0125,0.000225,0.4104754530433224,1
22,40,10,51,60,17,0.6000000000000001,0.0125,0.000225,0.5290836258936353,2
23,40,10,51,60,17,0.6000000000000001,0.0125,0.000225,0.6601900573939083,3
24,54,13,26,67,18,0.8,0.0725,0.0007875,0.1030340492081449,1
25,54,13,26,67,18,0.8,0.0725,0.0007875,0.2734484692582625,2
26,54,13,26,67,18,0.8,0.0725,0.0007875,0.3766881592400838,3
27,36,20,39,72,28,0.5,0.0425,0.0009,0.4354411293108823,1
28,36,20,39,72,28,0.5,0.0425,0.0009,0.579911205962981,2
29,36,20,39,72,28,0.5,0.0425,0.0009,0.6348647740597164,3
30,34,13,46,82,13,0.7000000000000002,0.0125,0.0,0.4129942605849255,1
31,34,13,46,82,13,0.7000000000000002,0.0125,0.0,0.5100062767544413,2
32,34,13,46,82,13,0.7000000000000002,0.0125,0.0,0.5119945694761081,3
33,27,15,36,79,25,0.3,0.0525,0.0,0.4756169977055338,1
34,27,15,36,79,25,0.3,0.0525,0.0,0.5239227560310145,2
35,27,15,36,79,25,0.3,0.0525,0.0,0.7129234086627798,3
36,27,12,50,62,15,0.4,0.0325,0.0005625,0.3909283058913912,1
37,27,12,50,62,15,0.4,0.0325,0.0005625,0.5331669646844028,2
38,27,12,50,62,15,0.4,0.0325,0.0005625,0.6318631853800415,3
39,45,33,49,59,24,0.4,0.0725,0.0001125,0.3932977649684075,1
40,45,33,49,59,24,0.4,0.0725,0.0001125,0.4666164196054736,2
41,45,33,49,59,24,0.4,0.0725,0.0001125,0.6188988761269261,3
42,34,35,28,56,18,0.3,0.0625,0.000675,0.2725912735282578,1
43,34,35,28,56,18,0.3,0.0625,0.000675,0.5838822862548121,2
44,34,35,28,56,18,0.3,0.0625,0.000675,0.5544391124741272,3
45,48,21,26,64,25,0.2,0.0325,0.0001125,0.1543145779932296,1
46,48,21,26,64,25,0.2,0.0325,0.0001125,0.4522766692309055,2
47,48,21,26,64,25,0.2,0.0325,0.0001125,0.5335115011628253,3
48,25,27,33,80,17,0.5,0.0625,0.0,0.3412079490543182,1
49,25,27,33,80,17,0.5,0.0625,0.0,0.6676573641389969,2
50,25,27,33,80,17,0.5,0.0625,0.0,0.714701761906986,3
51,41,33,41,62,29,0.4,0.0725,0.0007875,0.2010535194123317,1
52,41,33,41,62,29,0.4,0.0725,0.0007875,0.548582885430087,2
