Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy
0,40,25,40,75,15,0.5,0.0625,0.0,0.66872591
1,46,22,42,55,12,0.8,0.0325,0.0003375,0.334262971667179
2,34,14,39,80,16,0.3,0.0325,0.0005625,0.3468196124472372
3,52,21,51,57,28,0.2,0.0825,0.00045,0.3500878731282422
4,47,28,43,74,24,0.7000000000000002,0.0425,0.0007875,0.4973084967099286
5,26,22,50,82,20,0.3,0.0525,0.00045,0.6818578110906738
6,31,29,43,76,14,0.2,0.0125,0.000225,0.5533909619020229
7,41,30,50,57,22,0.7000000000000002,0.0725,0.0,0.2227754426955693
8,43,30,52,70,23,0.4,0.0125,0.000225,0.7780838546583508
9,41,24,34,50,20,0.2,0.0325,0.0,0.4745752819864084
10,35,30,42,51,20,0.7000000000000002,0.0225,0.00045,0.4394260829106325
11,32,22,41,61,20,0.8,0.0725,0.0001125,0.3108939234454758
12,46,35,25,57,18,0.2,0.0525,0.0,0.279476441843907
13,54,12,44,52,19,0.8,0.0325,0.0009,0.2246588150053304
14,51,31,39,52,20,0.5,0.0225,0.0,0.566567221228891
15,40,16,27,59,23,0.2,0.0725,0.0007875,0.460159868202518
16,32,27,47,76,27,0.2,0.0125,0.0005625,0.7781945900856521
17,38,34,50,54,13,0.3,0.0425,0.0005625,0.4669972945970417
18,36,20,26,72,17,0.6000000000000001,0.0925,0.0,0.3936120677955018
19,51,23,43,67,29,0.4,0.0225,0.00045,0.5651504027867664
20,50,32,39,67,10,0.2,0.0125,0.000225,0.625104613586131
21,46,21,34,80,21,0.7000000000000002,0.0625,0.0001125,0.4108645390791081
22,31,11,39,76,19,0.5,0.0125,0.00045,0.7012904891283024
23,38,32,33,79,29,0.6000000000000001,0.0125,0.0003375,0.6581173588207501
24,25,31,39,64,18,0.3,0.0725,0.0001125,0.3788595060148764
25,48,33,33,58,11,0.7000000000000002,0.0125,0.0,0.418445254345291
26,39,34,49,54,27,0.5,0.0125,0.0007875,0.5359422053883728
27,51,22,53,65,11,0.3,0.0925,0.000225,0.2774060516036381
28,36,23,46,66,26,0.3,0.0425,0.0009,0.4991296309323631
29,48,28,37,55,18,0.7000000000000002,0.0525,0.00045,0.3579222536032176
30,46,15,29,75,22,0.4,0.0225,0.0003375,0.4336463821383028
31,36,24,32,62,22,0.2,0.0125,0.0003375,0.6810504890900803
32,37,18,27,82,15,0.4,0.0525,0.00045,0.4765356933131319
33,43,30,26,73,21,0.3,0.0125,0.0005625,0.6580999023578314
34,31,27,49,69,25,0.5,0.0625,0.0003375,0.5229983293050492
35,53,18,29,53,16,0.5,0.0225,0.000225,0.4679206316125786
36,48,10,39,70,10,0.5,0.0325,0.0001125,0.3565719715683836
37,42,35,33,69,15,0.6000000000000001,0.0425,0.0005625,0.4783884283767612
38,43,18,52,75,17,0.8,0.0725,0.000225,0.1519653906474999
39,53,34,27,57,28,0.7000000000000002,0.0125,0.0007875,0.3274792514003609
40,41,33,42,77,24,0.2,0.0725,0.0005625,0.6259722379035306
41,44,14,27,74,14,0.8,0.0925,0.0,0.2540999402005602
42,54,22,31,82,10,0.6000000000000001,0.0425,0.0,0.3524954050869423
43,33,23,41,79,11,0.2,0.0525,0.0001125,0.4208174710921315
44,41,31,42,58,17,0.4,0.0225,0.00045,0.5073471636273664
45,42,19,30,74,23,0.6000000000000001,0.0525,0.0001125,0.3422161374502846
46,48,10,31,73,24,0.5,0.0425,0.0005625,0.3213163446187813
47,43,35,50,78,29,0.2,0.0425,0.0,0.8038181986648553
48,28,35,43,64,24,0.2,0.0825,0.00045,0.6172297349299506
49,31,23,46,82,20,0.2,0.0425,0.0003375,0.6183241268225398
50,49,15,50,73,21,0.8,0.0625,0.0,0.3867016596032949
51,33,26,42,61,21,0.3,0.0525,0.00045,0.5909935501014845
52,48,19,46,76,29,0.3,0.0325,0.0007875,0.5980625681939721
53,44,18,53,71,27,0.4,0.0425,0.0,0.5270935606005711
54,43,35,52,68,17,0.7000000000000002,0.0525,0.0005625,0.373160555789793
55,44,18,33,82,26,0.8,0.0925,0.0007875,0.2923920957110172
56,26,20,37,71,14,0.7000000000000002,0.0525,0.0009,0.436443976679173
57,49,30,35,81,26,0.5,0.0125,0.000675,0.7076662598023015
58,29,11,36,79,18,0.3,0.0425,0.0001125,0.6649154233466977
59,44,34,27,65,23,0.3,0.0525,0.00045,0.4453988229874774
60,31,17,33,73,27,0.4,0.0525,0.00045,0.518939373596559
61,40,19,37,66,29,0.7000000000000002,0.0425,0.0001125,0.3463207243793469
62,42,10,51,56,23,0.5,0.0325,0.000225,0.4139799785712698
63,41,13,37,75,26,0.8,0.0925,0.0005625,0.2155278135963393
64,42,29,48,73,28,0.8,0.0125,0.000675,0.4331267566948639
65,39,15,34,58,13,0.7000000000000002,0.0125,0.0009,0.4375279293224827
66,49,25,42,57,18,0.5,0.0125,0.000675,0.5180732842038069
67,46,23,46,50,15,0.3,0.0725,0.0,0.4708877056905181
68,51,26,30,76,14,0.5,0.0725,0.0005625,0.4868199404386762
69,53,20,33,80,14,0.7000000000000002,0.0425,0.0007875,0.3798264072218533
70,34,25,27,68,14,0.4,0.0325,0.000225,0.4226102764570142
71,40,29,44,74,12,0.7000000000000002,0.0425,0.0007875,0.4409318212941076
72,28,20,37,78,20,0.6000000000000001,0.0825,0.0001125,0.404506058589391
73,41,17,48,70,26,0.2,0.0525,0.00045,0.4332877867983241
74,37,10,47,59,29,0.6000000000000001,0.0525,0.0,0.4230743461465995
75,35,16,34,81,13,0.4,0.0825,0.00045,0.3176322625881077
76,29,21,28,75,10,0.4,0.0725,0.000225,0.4528927258563633
77,29,19,29,64,26,0.6000000000000001,0.0225,0.0005625,0.4330172994616238
78,31,16,42,62,18,0.4,0.0325,0.0005625,0.5658757457687822
79,34,29,51,52,28,0.5,0.0425,0.0007875,0.5892182896314415
80,52,19,44,75,29,0.4,0.0425,0.000675,0.4796452481472979
81,41,27,47,75,29,0.6000000000000001,0.0325,0.0009,0.6286622341422455
82,54,23,30,68,12,0.2,0.0425,0.000675,0.4892185737775972
83,45,25,34,80,22,0.5,0.0525,0.0001125,0.629270565907431
84,39,34,44,57,12,0.5,0.0125,0.000675,0.5703553168668455
85,43,12,27,76,26,0.8,0.0925,0.0009,0.2052778219643187
86,54,14,29,71,20,0.6000000000000001,0.0425,0.0005625,0.3452157520486703
87,54,22,35,59,25,0.6000000000000001,0.0425,0.0005625,0.4565221233710385
88,36,21,27,52,24,0.5,0.0325,0.0,0.434136211839055
89,29,35,40,71,19,0.8,0.0925,0.0005625,0.3112324575858749
90,37,14,51,52,25,0.4,0.0925,0.00045,0.2606373190180384
91,29,20,52,65,13,0.4,0.0625,0.00045,0.6040843828597678
92,40,20,39,72,25,0.3,0.0125,0.0007875,0.6379271397559428
93,53,27,46,65,23,0.2,0.0525,0.0003375,0.4659069508467473
94,40,19,50,62,17,0.5,0.0825,0.0003375,0.469777343116202
95,47,16,44,80,21,0.8,0.0625,0.000225,0.2994514974448788
96,31,12,25,52,22,0.8,0.0525,0.000225,0.2197449224478322
97,51,11,26,59,10,0.4,0.0225,0.000675,0.3814051703384407
98,39,24,35,82,11,0.7000000000000002,0.0125,0.0001125,0.5167726172279999
99,34,12,49,58,18,0.4,0.0825,0.00045,0.2748804327529602
100,47,19,48,70,18,0.6000000000000001,0.0725,0.0009,0.3332830752431111
0,40,25,40,75,15,0.5,0.0625,0.0,0.66872591
1,39,26,27,59,17,0.8,0.0125,0.00045,0.3000017072954507
