Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy
0,40,25,40,75,15,0.5,0.0625,0.0,71.91358
1,47,11,53,54,12,0.8,0.0325,0.000675,70.17746913580247
2,51,29,35,69,10,0.3,0.0425,0.0009,69.98456790123457
3,29,23,37,52,23,0.4,0.0525,0.0007875,69.63734567901234
4,49,26,27,75,25,0.6000000000000001,0.0225,0.000225,70.7175925925926
5,35,12,46,75,29,0.2,0.0425,0.0,66.04938271604938
6,36,16,27,67,10,0.7000000000000002,0.0225,0.0007875,70.44753086419753
7,44,27,47,77,12,0.3,0.0925,0.0009,68.78858024691358
8,54,26,52,77,15,0.4,0.0525,0.000675,69.94598765432097
9,49,22,31,52,18,0.3,0.0625,0.000225,69.1358024691358
10,37,28,48,64,28,0.4,0.0225,0.0,67.90123456790123
11,53,10,41,55,13,0.5,0.0225,0.0007875,69.67592592592592
12,46,31,43,79,27,0.2,0.0925,0.0003375,62.84722222222222
13,50,12,33,71,22,0.5,0.0725,0.0003375,68.75
14,52,26,49,73,21,0.5,0.0225,0.00045,68.71141975308643
15,27,26,37,71,21,0.5,0.0825,0.0007875,68.71141975308643
16,32,14,46,55,29,0.5,0.0125,0.0005625,70.87191358024693
17,27,28,43,51,22,0.3,0.0225,0.0,68.28703703703704
18,31,18,33,66,19,0.2,0.0525,0.0009,68.17129629629629
19,26,27,44,72,27,0.3,0.0925,0.0009,66.04938271604938
20,52,24,41,82,13,0.5,0.0625,0.0005625,70.52469135802468
21,48,11,53,76,11,0.2,0.0125,0.0,67.66975308641976
22,49,10,52,81,14,0.5,0.0825,0.0007875,69.40586419753087
23,50,14,51,78,29,0.3,0.0525,0.00045,65.31635802469135
24,41,35,35,72,21,0.7000000000000002,0.0125,0.0,71.72067901234567
25,49,17,50,72,16,0.3,0.0725,0.0001125,68.5570987654321
26,46,15,28,64,16,0.4,0.0125,0.0009,70.02314814814815
27,30,31,41,57,19,0.5,0.0425,0.0005625,69.40586419753086
28,42,20,37,65,28,0.6000000000000001,0.0825,0.000675,69.40586419753086
29,34,17,25,76,24,0.2,0.0825,0.0009,68.01697530864197
30,51,17,48,65,27,0.6000000000000001,0.0925,0.000225,69.02006172839508
31,50,31,37,54,10,0.8,0.0925,0.000675,70.7175925925926
32,31,30,32,68,14,0.7000000000000002,0.0125,0.000675,72.8780864197531
33,54,31,52,64,20,0.6000000000000001,0.0325,0.0,70.52469135802468
34,54,30,38,57,10,0.3,0.0625,0.0001125,70.40895061728395
35,49,11,36,73,12,0.5,0.0425,0.0003375,70.25462962962962
36,39,24,25,72,27,0.3,0.0225,0.000225,67.86265432098764
37,45,20,46,62,15,0.5,0.0725,0.0,70.64043209876542
38,30,17,27,71,14,0.4,0.0625,0.0,68.59567901234568
39,40,32,53,82,19,0.7000000000000002,0.0325,0.000225,71.02623456790124
40,35,21,32,67,12,0.5,0.0925,0.0001125,69.21296296296296
41,43,16,36,62,12,0.2,0.0725,0.000675,69.40586419753086
42,51,29,47,71,26,0.2,0.0325,0.0007875,65.39351851851853
43,38,14,38,66,10,0.3,0.0925,0.000225,68.90432098765433
44,29,12,31,82,28,0.4,0.0925,0.0001125,67.43827160493827
45,53,33,33,62,12,0.3,0.0225,0.0009,70.37037037037037
46,35,33,27,53,19,0.6000000000000001,0.0125,0.0,71.33487654320989
47,40,31,26,70,10,0.5,0.0225,0.0009,71.6820987654321
48,34,20,51,63,18,0.2,0.0125,0.000225,68.59567901234568
49,40,21,50,58,14,0.2,0.0425,0.0001125,68.59567901234567
50,36,14,41,69,26,0.5,0.0325,0.0009,71.18055555555556
51,49,13,42,54,13,0.3,0.0625,0.000225,68.59567901234567
52,27,25,35,69,11,0.4,0.0125,0.0007875,70.64043209876543
53,54,23,30,57,14,0.5,0.0525,0.000675,71.91358024691357
54,32,26,51,75,24,0.7000000000000002,0.0825,0.0007875,70.48611111111113
55,54,11,46,72,13,0.6000000000000001,0.0625,0.0001125,69.63734567901234
