Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy
0,40,25,40,75,15,0.5,0.0625,0.0,73.72
1,29,20,45,50,10,0.2,0.0625,0.000675,67.63117283950618
2,37,17,49,77,28,0.3,0.0725,0.0007875,69.29012345679013
3,28,23,35,59,19,0.4,0.0425,0.0003375,70.75617283950618
4,41,18,53,55,28,0.2,0.0625,0.00045,67.86265432098766
5,35,25,39,75,21,0.5,0.0325,0.0007875,70.83333333333331
6,36,10,33,62,20,0.7000000000000002,0.0125,0.0,71.79783950617283
7,52,16,40,75,14,0.2,0.0225,0.000675,70.40895061728396
8,50,31,33,56,14,0.3,0.0425,0.000675,68.20987654320987
9,51,11,34,72,16,0.3,0.0425,0.0007875,69.94598765432099
10,50,18,49,71,18,0.4,0.0825,0.0007875,69.25154320987654
11,36,10,27,66,17,0.3,0.0725,0.0005625,68.51851851851853
12,35,32,46,56,15,0.5,0.0425,0.0001125,69.25154320987654
13,26,13,50,80,29,0.6000000000000001,0.0625,0.0009,72.60802469135803
14,54,31,44,60,20,0.4,0.0225,0.000675,70.56327160493828
15,48,21,38,61,16,0.8,0.0325,0.00045,70.56327160493828
16,31,23,48,53,25,0.8,0.0425,0.000225,72.14506172839506
17,39,24,42,79,26,0.2,0.0725,0.0009,67.28395061728394
18,32,20,33,65,21,0.2,0.0625,0.0,69.86882716049382
19,44,15,41,51,19,0.6000000000000001,0.0225,0.0007875,71.4891975308642
20,36,25,30,79,20,0.7000000000000002,0.0625,0.000225,69.79166666666667
21,32,17,38,65,26,0.4,0.0125,0.0003375,70.9104938271605
22,50,27,27,78,11,0.4,0.0925,0.0,66.01080246913581
23,37,24,37,75,22,0.6000000000000001,0.0625,0.0005625,69.94598765432097
24,28,23,36,78,16,0.8,0.0725,0.0009,68.86574074074073
25,44,35,45,56,20,0.6000000000000001,0.0325,0.0001125,69.75308641975309
26,42,23,36,67,24,0.6000000000000001,0.0225,0.0003375,72.06790123456788
27,29,31,44,56,26,0.7000000000000002,0.0425,0.0003375,73.18672839506173
28,31,26,45,58,15,0.5,0.0625,0.0003375,68.09413580246914
29,34,15,40,58,29,0.8,0.0325,0.0003375,75.88734567901233
30,35,16,44,76,24,0.5,0.0225,0.000675,71.48919753086422
